soc,glFullVersion
TENSOR,OpenGL ES 3.2 v1.r47p0-01eac0.32ea38cfcac3afe9a9b43f4ca33f49a9
MT6765,OpenGL ES 3.2 build 1.13@5776728
MT6769V/CB,OpenGL ES 3.2 v1.r32p1-01eac0.2a893c04ca0026c2e6802dbe7d7af5c5
MT6769V/CZ,OpenGL ES 3.2 v1.r32p1-01eac0.fc49d6bd800ecb1492a1f77284a4d178
SM6450,"OpenGL ES 3.2 V@0615.86 (GIT@30f48d66fb, I33af6953c3, 1712899917) (Date:04/12/24)"
TENSOR G4,OpenGL ES 3.2 v1.r47p0-01eac0.dcd0e390f0239618a7dd5d0b929ff6e1
TENSOR,OpenGL ES 3.2 v1.r46p0-01eac1.6b76d861277b3ea6941f5aa972def735
